Base DRG,Included MS-DRG Codes,Descriptor
1,001; 002,Heart transplant or implant of heart assist system
2,3,Cardiac valve procedures with cardiac catheterization
3,4,Extracranial procedures with a principal diagnosis of acute myocardial infarction
4,005; 006,"Tracheostomy with mechanical ventilation 96+ hours or principal diagnosis except face, mouth, and neck with major operating room procedure"
5,7,Percutaneous cardiovascular procedures without acute myocardial infarction
6,8,Intracranial hemorrhage or cerebral infarction with complications
7,9,Diseases and disorders of the hepatobiliary system and pancreas with MCC
8,10,Respiratory system diagnosis with ventilator support 96+ hours
9,011; 012; 013,"Tracheostomy with mechanical ventilation 96+ hours or principal diagnosis except face, mouth, and neck without major operating room procedure"
10,020; 021; 022,Seizures with MCC or 4+ anticonvulsant agents
11,023; 024,Craniotomy and endovascular intracranial procedures with complications or comorbidities
12,025; 026; 027,Other disorders of the nervous system with complications or comorbidities
13,028; 029; 030,Other disorders of the nervous system without complications or comorbidities
14,031; 032; 033,Diabetes with complications or comorbidities
15,034; 035; 036,Diabetes without complications or comorbidities
16,037; 038; 039,Osteomyelitis with complications or comorbidities
17,040; 041; 042,Pathological fractures and musculoskeletal and connective tissue neoplasms with complications or comorbidities
18,052; 053,Spinal disorders and injuries with complications or comorbidities
19,054; 055,Spinal disorders and injuries without complications or comorbidities
20,056; 057,Other musculoskeletal system and connective tissue diagnoses with complications or comorbidities
21,058; 059; 060,Other musculoskeletal system and connective tissue diagnoses without complications or comorbidities
22,061; 062; 063,Hip and femur procedures except major joint with complications or comorbidities
23,064; 065; 066,Hip and femur procedures except major joint without complications or comorbidities
24,067; 068,Intracranial hemorrhage or cerebral infarction without complication
25,69,"Alcohol/drug abuse or dependence, left AMA"
26,070; 071; 072,Other digestive system diagnoses with complications or comorbidities
27,073; 074,Cranial and peripheral nerve disorders with complications or comorbidities
28,075; 076,Non-specific cerebrovascular disorders with complications or comorbidities
29,077; 078; 079,Respiratory infections and inflammations with complications or comorbidities
30,080; 081,Respiratory infections and inflammations without complications or comorbidities
31,082; 083; 084,Bronchitis and asthma with complications or comorbidities
32,085; 086; 087,Respiratory neoplasms with complications or comorbidities
33,088; 089; 090,Chronic obstructive pulmonary disease with MCC
34,091; 092; 093,Other respiratory system diagnoses with complications or comorbidities
35,094; 095; 096,Other respiratory system diagnoses without complications or comorbidities
36,097; 098; 099,Digestive system diagnosis with MCC
37,100; 101,Digestive system diagnosis with CC
38,102; 103,Digestive system diagnosis without CC/MCC
39,113; 114,Syncope and collapse with MCC
40,116; 117,Intraocular procedures with complications or comorbidities
41,121; 122,Nervous system neoplasms with complications or comorbidities
42,123,Nervous system neoplasms without complications or comorbidities
43,124; 125,"Infectious and parasitic diseases, system-specific sites with complications or comorbidities"
44,129; 130,"Infectious and parasitic diseases, system-specific sites without complications or comorbidities"
45,131; 132,"Infectious and parasitic diseases, age >17 with complications or comorbidities"
46,133; 134,"Infectious and parasitic diseases, age >17 without complications or comorbidities"
47,137; 138,Mouth procedures with complications or comorbidities
48,139,Miscellaneous disorders of the digestive system with complications or comorbidities
49,146; 147; 148,"Ear, nose, mouth, and throat malignancy with complications or comorbidities"
50,149,"Ear, nose, mouth, and throat malignancy without complications or comorbidities"
51,150; 151,Ectopic pregnancy
52,152; 153,Ovarian and adnexal procedures with malignancy
53,154; 155; 156,Ovarian and adnexal procedures except malignancy with CC/MCC
54,157; 158; 159,"Pregnancy, childbirth and the puerperium with major complication/comorbidity"
55,163; 164; 165,"Pregnancy, childbirth and the puerperium with complications, comorbidities"
56,166; 167; 168,"Pregnancy, childbirth and the puerperium without complications, comorbidities"
57,175; 176,Pulmonary embolism with MCC
58,177; 178; 179,Respiratory infections and inflammations with CC
59,180; 181; 182,Respiratory infections and inflammations without CC/MCC
60,183; 184; 185,Pulmonary edema and respiratory failure
61,186; 187; 188,Pleural effusion with MCC
62,189,Pulmonary embolism without MCC
63,190; 191; 192,Chronic obstructive pulmonary disease with CC
64,193; 194; 195,Simple pneumonia and pleurisy with MCC
65,196; 197; 198,Interstitial lung disease with MCC
66,199; 200; 201,Interstitial lung disease with CC
67,202; 203,Bronchitis and asthma with CC/MCC
68,204,Respiratory signs and symptoms
69,205; 206,Other respiratory system diagnoses with CC
70,207,Respiratory system diagnosis without CC/MCC
71,208,Respiratory system diagnosis with MCC
72,216; 217; 218,Cardiac valve and other major cardiothoracic procedures with MCC
73,219; 220; 221,Cardiac valve and other major cardiothoracic procedures with CC
74,222; 223,Cardiac defibrillator implant with cardiac catheterization with MCC
75,224; 225,Percutaneous cardiovascular procedures with non-drug-eluting stent with MCC
76,226; 227,Cardiac defibrillator implant without cardiac catheterization with MCC
77,228; 229; 230,Cardiac defibrillator implant without cardiac catheterization with CC
78,231; 232,Coronary bypass with PTCA with MCC
79,233; 234,Coronary bypass with PTCA with CC
80,235; 236,Coronary bypass without cardiac catheterization with MCC
81,237; 238,Coronary bypass without cardiac catheterization with CC
82,239; 240; 241,Amputation for circulatory system disorders except upper limb and toe with MCC
83,242; 243; 244,Permanent cardiac pacemaker implant with MCC
84,245,AICD generator procedures
85,246; 247,Percutaneous cardiovascular procedures with drug-eluting stent with MCC
86,248; 249,Percutaneous cardiovascular procedures with drug-eluting stent with CC
87,250; 251,Percutaneous cardiovascular procedures without coronary artery stent with MCC
88,252; 253; 254,Other vascular procedures with MCC
89,255; 256; 257,Other vascular procedures with CC
90,258; 259,Other vascular procedures without CC/MCC
91,260; 261; 262,Other circulatory system diagnoses with MCC
92,264,Other circulatory system diagnoses with CC
93,280; 281; 282,"Acute myocardial infarction, discharged alive with MCC"
94,283; 284; 285,"Acute myocardial infarction, discharged alive with CC"
95,286; 287,"Circulatory disorders except AMI, with cardiac catheterization with MCC"
96,288; 289; 290,Acute and subacute endocarditis with MCC
97,291; 292; 293,Heart failure and shock with MCC
98,294; 295,Heart failure and shock with CC
99,296; 297; 298,Cardiac arrhythmia and conduction disorders with MCC
100,299; 300; 301,Peripheral vascular disorders with MCC
101,302; 303,Diabetes with MCC
102,304; 305,Diabetes without MCC
103,306; 307,Hypertension with MCC
104,308; 309; 310,Hypertension without MCC
105,311,Angina pectoris
106,312,Syncope and collapse
107,313,Chest pain
108,314; 315; 316,Other circulatory system diagnoses with CC
109,326; 327; 328,"Stomach, esophageal and duodenal procedures with MCC"
110,329; 330; 331,"Stomach, esophageal and duodenal procedures with CC"
111,332; 333; 334,"Stomach, esophageal and duodenal procedures without CC/MCC"
112,335; 336; 337,Appendectomy with complicated principal diagnosis with MCC
113,338; 339; 340,Appendectomy with complicated principal diagnosis with CC
114,341; 342; 343,Appendectomy with complicated principal diagnosis without CC/MCC
115,344; 345; 346,Minor small and large bowel procedures with MCC
116,347; 348; 349,Minor small and large bowel procedures with CC
117,350; 351; 352,Minor small and large bowel procedures without CC/MCC
118,353; 354; 355,Hernia procedures except inguinal and femoral with MCC
119,356; 357; 358,Hernia procedures except inguinal and femoral with CC
120,368; 369; 370,Major esophageal disorders with MCC
121,371; 372; 373,Major esophageal disorders with CC
122,374; 375; 376,Digestive malignancy with MCC
123,377; 378; 379,Digestive malignancy with CC
124,380; 381; 382,Complicated peptic ulcer with MCC
125,383; 384,Uncomplicated peptic ulcer with MCC
126,385; 386; 387,Cirrhosis and alcoholic hepatitis with MCC
127,388; 389; 390,Cirrhosis and alcoholic hepatitis with CC
128,391; 392,"Esophagitis, gastroenteritis, and miscellaneous digestive disorders with MCC"
129,393; 394; 395,"Esophagitis, gastroenteritis, and miscellaneous digestive disorders with CC"
130,405; 406; 407,"Pancreas, liver, and shunt procedures with MCC"
131,408; 409; 410,"Pancreas, liver, and shunt procedures with CC"
132,411; 412; 413,"Pancreas, liver, and shunt procedures without CC/MCC"
133,414; 415; 416,Adrenal and pituitary procedures with MCC
134,417; 418; 419,Adrenal and pituitary procedures with CC
135,420; 421; 422,Adrenal and pituitary procedures without CC/MCC
136,423; 424; 425,Other hepatobiliary and pancreatic diagnoses with MCC
137,432; 433; 434,Other hepatobiliary and pancreatic diagnoses with CC
138,435; 436; 437,Other hepatobiliary and pancreatic diagnoses without CC/MCC
139,438; 439; 440,Disorders of pancreas except malignancy with MCC
140,441; 442; 443,Disorders of pancreas except malignancy with CC
141,444; 445; 446,Disorders of pancreas except malignancy without CC/MCC
142,453; 454; 455,Lymphoma and leukemia with major operating room procedure with MCC
143,456; 457; 458,Lymphoma and leukemia with major operating room procedure with CC
144,459; 460,Lymphoma and leukemia with major operating room procedure without CC/MCC
145,461; 462,Extensive operating room procedure unrelated to principal diagnosis with MCC
146,463; 464; 465,Extensive operating room procedure unrelated to principal diagnosis with CC
147,466; 467; 468,Extensive operating room procedure unrelated to principal diagnosis without CC/MCC
148,469; 470,Major joint replacement or reattachment of lower extremity with MCC
149,471; 472; 473,Major joint replacement or reattachment of lower extremity without MCC
150,474; 475; 476,Major joint replacement or reattachment of upper extremity
151,477; 478; 479,Infectious and parasitic diseases with O.R. procedure with MCC
152,480; 481; 482,Infectious and parasitic diseases with O.R. procedure with CC
153,483; 484,Infectious and parasitic diseases with O.R. procedure without CC/MCC
154,485; 486; 487,HIV with major related condition with MCC
155,488; 489,HIV with major related condition with CC
156,490; 491,HIV with major related condition without CC/MCC
157,492; 493; 494,HIV with or without other related condition with MCC
158,495; 496; 497,HIV with or without other related condition with CC
159,498; 499,HIV with or without other related condition without CC/MCC
160,500; 501; 502,Respiratory system diagnosis with ventilator support 96+ hours or peripheral extracorporeal membrane oxygenation (ECMO)
161,503; 504; 505,Respiratory system diagnosis with ventilator support <96 hours
162,506,Respiratory system diagnosis without ventilator support
163,507; 508,Septicemia or severe sepsis without MV 96+ hours with MCC
164,510; 511; 512,Septicemia or severe sepsis without MV 96+ hours without MCC
165,513; 514,Septicemia or severe sepsis with MV 96+ hours
166,515; 516; 517,Other respiratory system diagnoses with MCC
167,533; 534,Respiratory system diagnosis with ventilator support 96+ hours
168,535; 536,Respiratory system diagnosis with ventilator support <96 hours
169,537; 538,Respiratory system diagnosis without ventilator support
170,539; 540; 541,Amputation for circulatory system disorders except upper limb and toe with MCC
171,542; 543; 544,Amputation for circulatory system disorders except upper limb and toe without MCC
172,545; 546; 547,Revision of hip or knee replacement with MCC
173,548; 549; 550,Revision of hip or knee replacement without MCC
174,551; 552,Medical back problems with MCC
175,553; 554,Medical back problems without MCC
176,555; 556,Skin grafts and wound debridement for injuries with MCC
177,557; 558,Skin grafts and wound debridement for injuries without MCC
